,DATE,SKU,CUSTOMER,CITY,PRICE,QUANTITY,SALESPERSON
151,2021-01-12,25,347,56,2850.0,100.0,0
152,2021-01-12,25,347,56,0.0,20.0,0
153,2021-01-12,25,464,40,2800.0,100.0,1
154,2021-01-12,25,464,40,0.0,20.0,1
155,2021-01-12,36,464,40,525.0,5.0,1
156,2021-01-12,20,195,46,8640.0,120.0,7
157,2021-01-12,13,347,56,1600.0,100.0,0
158,2021-01-12,13,347,56,0.0,20.0,0
159,2021-01-12,10,310,56,1800.0,40.0,0
160,2021-01-12,24,347,56,1350.0,90.0,0
161,2021-01-12,24,347,56,0.0,30.0,0
162,2021-01-12,24,347,56,18840.0,120.0,0
163,2021-01-12,26,347,56,15000.0,500.0,0
164,2021-01-12,26,347,56,0.0,100.0,0
165,2021-01-12,1,515,38,780.0,60.0,1
166,2021-01-12,37,515,38,3800.0,40.0,1
167,2021-01-12,36,515,38,1800.0,20.0,1
168,2021-01-12,8,515,38,600.0,60.0,1
169,2021-01-12,8,515,38,0.0,20.0,1
170,2021-01-12,21,515,38,2790.0,180.0,1
171,2021-01-12,21,515,38,0.0,60.0,1
172,2021-01-12,12,515,38,880.0,40.0,1
173,2021-01-12,12,515,38,0.0,8.0,1
174,2021-01-12,12,515,38,1400.0,20.0,1
175,2021-01-12,12,515,38,0.0,2.0,1
176,2021-01-12,24,515,38,2610.0,180.0,1
177,2021-01-12,24,515,38,0.0,60.0,1
178,2021-01-12,26,515,38,5500.0,200.0,1
179,2021-01-12,26,515,38,0.0,40.0,1
180,2021-01-13,27,439,35,1776.0,48.0,4
181,2021-01-13,25,439,35,1080.0,40.0,4
182,2021-01-13,10,439,35,800.0,20.0,4
183,2021-01-13,17,285,47,6180.0,60.0,0
184,2021-01-13,28,285,47,69875.0,1625.0,0
185,2021-01-13,13,285,47,5500.0,500.0,0
186,2021-01-13,13,285,47,5500.0,500.0,0
187,2021-01-13,8,212,15,1200.0,120.0,4
188,2021-01-13,8,212,15,0.0,40.0,4
189,2021-01-13,27,212,15,2664.0,72.0,4
190,2021-01-13,27,212,15,0.0,24.0,4
191,2021-01-13,10,351,16,2700.0,60.0,1
192,2021-01-13,10,351,16,0.0,20.0,1
193,2021-01-13,12,212,15,720.0,120.0,4
194,2021-01-13,12,212,15,0.0,40.0,4
195,2021-01-13,12,212,15,500.0,20.0,4
196,2021-01-13,12,212,15,0.0,4.0,4
197,2021-01-13,26,85,13,0.0,60.0,7
198,2021-01-13,26,212,15,2700.0,100.0,4
199,2021-01-13,26,212,15,0.0,20.0,4
200,2021-01-13,10,79,65,5040.0,120.0,2
201,2021-01-13,10,79,65,0.0,40.0,2
202,2021-01-13,10,79,65,7140.0,40.0,2
203,2021-01-13,10,79,65,0.0,8.0,2
204,2021-01-14,13,313,7,1500.0,100.0,2
205,2021-01-14,13,313,7,0.0,20.0,2
206,2021-01-14,13,313,7,2400.0,40.0,2
207,2021-01-14,13,313,7,0.0,4.0,2
208,2021-01-14,13,313,7,2850.0,15.0,2
209,2021-01-14,13,313,7,0.0,1.0,2
210,2021-01-14,13,495,7,1500.0,100.0,2
211,2021-01-14,13,495,7,0.0,20.0,2
212,2021-01-14,13,495,7,2400.0,40.0,2
213,2021-01-14,13,495,7,0.0,4.0,2
214,2021-01-14,13,495,7,2850.0,15.0,2
215,2021-01-14,13,495,7,0.0,1.0,2
216,2021-01-14,1,11,67,1669.34,10.0,5
217,2021-01-14,1,11,67,0.0,1.0,5
218,2021-01-14,28,313,7,7500.0,125.0,2
219,2021-01-14,13,11,67,1485.8,100.0,5
220,2021-01-14,13,11,67,0.0,20.0,5
221,2021-01-14,8,11,67,1101.24,120.0,5
222,2021-01-14,8,11,67,0.0,40.0,5
223,2021-01-14,28,11,67,2992.5,50.0,5
224,2021-01-14,8,11,67,2560.82,20.0,5
225,2021-01-14,8,11,67,0.0,2.0,5
226,2021-01-14,27,550,39,2267.46,72.0,5
227,2021-01-14,27,550,39,0.0,24.0,5
228,2021-01-14,27,11,67,2454.19,72.0,5
229,2021-01-14,27,11,67,0.0,24.0,5
230,2021-01-14,10,11,67,4614.72,120.0,5
231,2021-01-14,10,11,67,0.0,40.0,5
